task_name,from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,model_path,drop_neighborhood,drop_description,cpt_path,task_name,train_path,valid_path,test_path,index_path,inference_entities_path,exact_match,exact_match_entity,Hits@1,Hits@3,Hits@5,Hits@10,Hits@1_pipeline,Hits@3_pipeline,Hits@5_pipeline,Hits@10_pipeline
ilpc-small,t5-base,,transformers:T5ForConditionalGeneration,encoder-decoder,5e-06,128,1.0,linear,512,/home/bulatov/bulatov/KGLM/runs/t5-base/ilpc-small/lr5e-06_constant_with_warmup_adamw_wd1e-02_512-512_bs128_iters100000_baseline_pretrained_2sep_enum_nodesc_eval/run_1/,True,True,/home/bulatov/bulatov/KGLM/runs/t5-base/ilpc-small/lr5e-06_constant_with_warmup_adamw_wd1e-02_512-512_bs128_iters100000_baseline_pretrained_2sep_enum_nodesc/run_1,ilpc-small,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_train.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_valid.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_test.csv,/home/bulatov/bulatov/KGLM/faiss/entities_small.index,/home/chepurova/knowledge-graphs-language-models/faiss/small_verbalized_inference_entities.json,5.099931240081787,5.099931240081787,0.07288077473640442,0.12956582009792328,0.15385940670967102,0.1991729885339737,0.06995175778865814,0.10957960039377213,0.12680909037590027,0.1671261191368103
ilpc-small,t5-base,,transformers:T5ForConditionalGeneration,encoder-decoder,5e-06,128,1.0,linear,512,/home/bulatov/bulatov/KGLM/runs/t5-base/ilpc-small/lr5e-06_constant_with_warmup_adamw_wd1e-02_512-512_bs128_iters100000_pretrained_2sep_enum_nodesc_eval/run_1/,False,True,/home/bulatov/bulatov/KGLM/runs/t5-base/ilpc-small/lr5e-06_constant_with_warmup_adamw_wd1e-02_512-512_bs128_iters100000_pretrained_2sep_enum_nodesc/run_1/,ilpc-small,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_train.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_valid.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_test.csv,/home/bulatov/bulatov/KGLM/faiss/entities_small.index,/home/chepurova/knowledge-graphs-language-models/faiss/small_verbalized_inference_entities.json,5.513439178466797,5.513439178466797,0.0823569968342781,0.14162646234035492,0.1685044765472412,0.21588559448719025,0.07994486391544342,0.12956582009792328,0.1502412110567093,0.1878015100955963
ilpc-small,t5-base,,transformers:T5ForConditionalGeneration,encoder-decoder,5e-06,16,1.0,constant_with_warmup,512,./runs/t5-base/ilpc-small/lr5e-06_constant_with_warmup_adamw_wd1e-02_512-512_bs128_iters100000_pretrained_2sep_enum_nodesc/run_1,False,True,,ilpc-small,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_train.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_valid.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_test.csv,./faiss/entities_small.index,,,,,,,,,,,
ilpc-small,t5-base,,transformers:T5ForConditionalGeneration,encoder-decoder,5e-06,64,1.0,constant_with_warmup,512,./runs/t5-base/ilpc-small/lr5e-06_constant_with_warmup_adamw_wd1e-02_512-512_bs128_iters50000_baseline_pretrained_2sep_enum_nodesc/run_1,True,True,,ilpc-small,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_train.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_valid.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_test.csv,/home/bulatov/bulatov/KGLM/faiss/entities_small.index,,5.53066873550415,5.53066873550415,0.0720192939043045,0.11784975975751877,0.13266712427139282,0.17108890414237976,,,,
ilpc-small,t5-base,,transformers:T5ForConditionalGeneration,encoder-decoder,5e-06,64,1.0,linear,512,./runs/t5-base/ilpc-small/lr5e-06_linear_adamw_wd1e-02_512-512_bs128_iters20000_baseline_pretrained_2sep_enum_nodesc/run_1,True,True,,ilpc-small,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_train.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_valid.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_test.csv,/home/bulatov/bulatov/KGLM/faiss/entities_small.index,/home/chepurova/knowledge-graphs-language-models/faiss/small_verbalized_inference_entities.json,4.031702041625977,4.031702041625977,0.0823569968342781,0.14490006864070892,0.17126120626926422,0.22053755819797516,0.0796002745628357,0.13783597946166992,0.1600620299577713,0.20348036289215088
ilpc-small,t5-base,,transformers:T5ForConditionalGeneration,encoder-decoder,5e-06,64,1.0,linear,512,./runs/t5-base/ilpc-small/lr5e-06_linear_adamw_wd1e-02_512-512_bs128_iters50000_baseline_pretrained_2sep_enum/run_1,True,False,,ilpc-small,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_train.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_valid.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_test.csv,/home/bulatov/bulatov/KGLM/faiss/entities_description_small.index,/home/chepurova/knowledge-graphs-language-models/faiss/small_verbalized_inference_entities_and_descriptions.json,0.01722949743270874,5.444520950317383,0.0654720887541771,0.09286698698997498,0.11802205443382263,0.14558924734592438,0.0654720887541771,0.09286698698997498,0.11802205443382263,0.14558924734592438
ilpc-small,t5-base,,transformers:T5ForConditionalGeneration,encoder-decoder,5e-06,16,1.0,constant_with_warmup,512,./runs/t5-base/ilpc-small/lr5e-06_constant_with_warmup_adamw_wd1e-02_512-512_bs128_iters50000_pretrained_2sep_enum/run_1,False,False,,ilpc-small,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_train.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_valid.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_test.csv,/home/bulatov/bulatov/KGLM/faiss/entities_description_small.index,,0.4307374358177185,5.099931240081787,0.07356995344161987,0.11181943118572235,0.13680221140384674,0.17522397637367249,,,,
ilpc-small,t5-base,,transformers:T5ForConditionalGeneration,encoder-decoder,5e-06,16,1.0,linear,512,./runs/t5-base/ilpc-small/lr5e-06_linear_adamw_wd1e-02_512-512_bs128_iters50000_pretrained_2sep_enum/run_1,False,False,,ilpc-small,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_train.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_valid.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_test.csv,/home/bulatov/bulatov/KGLM/faiss/entities_description_small.index,/home/chepurova/knowledge-graphs-language-models/faiss/small_verbalized_inference_entities_and_descriptions.json,,,,,,,,,,
ilpc-small,t5-base,,transformers:T5ForConditionalGeneration,encoder-decoder,5e-06,16,1.0,linear,512,./runs/t5-base/ilpc-small/lr5e-06_linear_adamw_wd1e-02_512-512_bs128_iters20000_pretrained_2sep_enum_nodesc/run_1,False,True,,ilpc-small,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_train.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_valid.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_test.csv,/home/bulatov/bulatov/KGLM/faiss/entities_small.index,/home/chepurova/knowledge-graphs-language-models/faiss/small_verbalized_inference_entities.json,5.2549967765808105,5.2549967765808105,0.08649207651615143,0.14438317716121674,0.17505168914794922,0.22346657514572144,0.08390764892101288,0.13387319445610046,0.1592005491256714,0.20020675659179688
ilpc-small,t5-base,,transformers:T5ForConditionalGeneration,encoder-decoder,5e-06,16,1.0,constant_with_warmup,512,./runs/t5-base/ilpc-small/lr5e-06_constant_with_warmup_adamw_wd1e-02_512-512_bs128_iters50000_pretrained_2sep_enum_nodesc/run_1,False,True,,ilpc-small,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_train.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_valid.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_test.csv,/home/bulatov/bulatov/KGLM/faiss/entities_small.index,,5.375603199005127,5.375603199005127,0.07856650650501251,0.1374913901090622,0.16419710218906403,0.20864920318126678,,,,
ilpc-small,t5-base,,transformers:T5ForConditionalGeneration,encoder-decoder,5e-06,128,1.0,linear,512,/home/bulatov/bulatov/KGLM/runs/t5-base/ilpc-small/lr5e-06_constant_with_warmup_adamw_wd1e-02_512-512_bs128_iters100000_pretrained_2sep_enum_eval/run_1/,False,False,/home/bulatov/bulatov/KGLM/runs/t5-base/ilpc-small/lr5e-06_constant_with_warmup_adamw_wd1e-02_512-512_bs128_iters100000_pretrained_2sep_enum/run_1,ilpc-small,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_train.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_valid.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_test.csv,/home/bulatov/bulatov/KGLM/faiss/entities_description_small.index,/home/chepurova/knowledge-graphs-language-models/faiss/small_verbalized_inference_entities_and_descriptions.json,0.6202619075775146,5.099931240081787,0.07839421182870865,0.11802205443382263,0.14507237076759338,0.18711233139038086,0.07839421182870865,0.11802205443382263,0.14507237076759338,0.18711233139038086
ilpc-small,t5-base,,transformers:T5ForConditionalGeneration,encoder-decoder,5e-06,64,1.0,linear,512,./runs/t5-base/ilpc-small/lr5e-06_linear_adamw_wd1e-02_512-512_bs128_iters20000_baseline_pretrained_2sep_enum/run_1,True,False,,ilpc-small,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_train.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_valid.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_test.csv,/home/bulatov/bulatov/KGLM/faiss/entities_description_small.index,/home/chepurova/knowledge-graphs-language-models/faiss/small_verbalized_inference_entities_and_descriptions.json,0.32736045122146606,4.014472961425781,0.0790833905339241,0.11423156410455704,0.14093728363513947,0.17177808284759521,0.0790833905339241,0.11423156410455704,0.14093728363513947,0.17177808284759521
ilpc-small,t5-base,,transformers:T5ForConditionalGeneration,encoder-decoder,5e-06,64,1.0,constant_with_warmup,512,./runs/t5-base/ilpc-small/lr5e-06_constant_with_warmup_adamw_wd1e-02_512-512_bs128_iters50000_baseline_pretrained_2sep_enum/run_1,True,False,,ilpc-small,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_train.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_valid.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_test.csv,/home/bulatov/bulatov/KGLM/faiss/entities_description_small.index,,0.06891798973083496,5.272225856781006,0.06995175778865814,0.10010337829589844,0.1195727065205574,0.1516195684671402,,,,
ilpc-small,t5-base,,transformers:T5ForConditionalGeneration,encoder-decoder,5e-06,64,1.0,constant_with_warmup,512,./runs/t5-base/ilpc-small/lr5e-06_constant_with_warmup_adamw_wd1e-02_512-512_bs128_iters100000_baseline_pretrained_2sep_enum_nodesc/run_1,True,True,,ilpc-small,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_train.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_valid.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_test.csv,./faiss/entities_small.index,,,,,,,,,,,
ilpc-small,t5-base,,transformers:T5ForConditionalGeneration,encoder-decoder,5e-06,64,1.0,constant_with_warmup,512,./runs/t5-base/ilpc-small/lr5e-06_constant_with_warmup_adamw_wd1e-02_512-512_bs128_iters100000_baseline_pretrained_2sep_enum/run_1,True,False,,ilpc-small,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_train.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_valid.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_test.csv,./faiss/entities_description_small.index,,,,,,,,,,,
ilpc-small,t5-base,,transformers:T5ForConditionalGeneration,encoder-decoder,5e-06,64,1.0,constant_with_warmup,512,./runs/t5-base/ilpc-small/lr5e-06_constant_with_warmup_adamw_wd1e-02_512-512_bs128_iters100000_baseline_pretrained_2sep_enum/run_1,True,False,,ilpc-small,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_train.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_valid.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_test.csv,./faiss/entities_description_small.index,,,,,,,,,,,
ilpc-small,t5-base,,transformers:T5ForConditionalGeneration,encoder-decoder,5e-06,16,1.0,linear,512,./runs/t5-base/ilpc-small/lr5e-06_linear_adamw_wd1e-02_512-512_bs128_iters20000_pretrained_2sep_enum/run_1,False,False,,ilpc-small,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_train.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_valid.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_test.csv,/home/bulatov/bulatov/KGLM/faiss/entities_description_small.index,/home/chepurova/knowledge-graphs-language-models/faiss/small_verbalized_inference_entities_and_descriptions.json,0.7580978870391846,5.1860785484313965,0.0823569968342781,0.1247415542602539,0.15420399606227875,0.1958993822336197,0.0823569968342781,0.1247415542602539,0.15420399606227875,0.1958993822336197
ilpc-small,,t5-base,transformers:T5ForConditionalGeneration,encoder-decoder,5e-06,64,1.0,constant_with_warmup,512,./runs/t5-base/ilpc-small/lr5e-06_constant_with_warmup_adamw_wd1e-02_512-512_bs128_iters100000_baseline_2sep_enum/run_1,True,False,,ilpc-small,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_train.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_valid.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_test.csv,./faiss/entities_description_small.index,,,,,,,,,,,
ilpc-small,t5-base,,transformers:T5ForConditionalGeneration,encoder-decoder,5e-06,128,1.0,linear,512,/home/bulatov/bulatov/KGLM/runs/t5-base/ilpc-small/lr5e-06_constant_with_warmup_adamw_wd1e-02_512-512_bs128_iters100000_baseline_pretrained_2sep_enum_eval/run_1/,True,False,/home/bulatov/bulatov/KGLM/runs/t5-base/ilpc-small/lr5e-06_constant_with_warmup_adamw_wd1e-02_512-512_bs128_iters100000_baseline_pretrained_2sep_enum/run_1,ilpc-small,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_train.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_valid.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_test.csv,/home/bulatov/bulatov/KGLM/faiss/entities_description_small.index,/home/chepurova/knowledge-graphs-language-models/faiss/small_verbalized_inference_entities_and_descriptions.json,0.0,0.0,0.005513438954949379,0.018435562029480934,0.0263611301779747,0.03842177987098694,0.005513438954949379,0.018435562029480934,0.0263611301779747,0.03842177987098694
ilpc-small,t5-base,,transformers:T5ForConditionalGeneration,encoder-decoder,5e-06,16,1.0,constant_with_warmup,512,./runs/t5-base/ilpc-small/lr5e-06_constant_with_warmup_adamw_wd1e-02_512-512_bs128_iters100000_pretrained_2sep_enum/run_1,False,False,,ilpc-small,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_train.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_valid.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_test.csv,./faiss/entities_description_small.index,,,,,,,,,,,
ilpc-small,t5-base,,transformers:T5ForConditionalGeneration,encoder-decoder,5e-06,64,1.0,linear,512,./runs/t5-base/ilpc-small/lr5e-06_linear_adamw_wd1e-02_512-512_bs128_iters50000_baseline_pretrained_2sep_enum_nodesc/run_1,True,True,,ilpc-small,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_train.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_valid.csv,/home/bulatov/bulatov/datasets/ilpc22/small_2sep_enum/small_test.csv,/home/bulatov/bulatov/KGLM/faiss/entities_small.index,/home/chepurova/knowledge-graphs-language-models/faiss/small_verbalized_inference_entities.json,5.547897815704346,5.547897815704346,0.07270848006010056,0.11853893846273422,0.13490696251392365,0.17625775933265686,0.06995175778865814,0.0964851826429367,0.10630599409341812,0.14162646234035492
ilpc-large,t5-base,,transformers:T5ForConditionalGeneration,encoder-decoder,5e-06,16,1.0,constant_with_warmup,512,./runs/t5-base/ilpc-large/lr5e-06_constant_with_warmup_adamw_wd1e-02_512-512_bs128_iters150000_pretrained_2sep_enum_nodesc/run_1,False,True,,ilpc-large,/home/bulatov/bulatov/datasets/ilpc22/large_2sep_enum/large_train.csv,/home/bulatov/bulatov/datasets/ilpc22/large_2sep_enum/large_valid.csv,/home/bulatov/bulatov/datasets/ilpc22/large_2sep_enum/large_test.csv,,,,,,,,,,,,
ilpc-large,t5-base,,transformers:T5ForConditionalGeneration,encoder-decoder,5e-06,16,1.0,constant_with_warmup,512,./runs/t5-base/ilpc-large/lr5e-06_constant_with_warmup_adamw_wd1e-02_512-512_bs128_iters150000_pretrained_2sep_enum_nodesc/run_1,False,True,,ilpc-large,/home/bulatov/bulatov/datasets/ilpc22/large_2sep_enum/large_train.csv,/home/bulatov/bulatov/datasets/ilpc22/large_2sep_enum/large_valid.csv,/home/bulatov/bulatov/datasets/ilpc22/large_2sep_enum/large_test.csv,,,,,,,,,,,,
ilpc-large,t5-base,,transformers:T5ForConditionalGeneration,encoder-decoder,5e-06,16,1.0,constant_with_warmup,512,./runs/t5-base/ilpc-large/lr5e-06_constant_with_warmup_adamw_wd1e-02_512-512_bs128_iters150000_pretrained_2sep_enum/run_1,False,False,,ilpc-large,/home/bulatov/bulatov/datasets/ilpc22/large_2sep_enum/large_train.csv,/home/bulatov/bulatov/datasets/ilpc22/large_2sep_enum/large_valid.csv,/home/bulatov/bulatov/datasets/ilpc22/large_2sep_enum/large_test.csv,,,,,,,,,,,,
ilpc-large,t5-base,,transformers:T5ForConditionalGeneration,encoder-decoder,5e-06,64,1.0,constant_with_warmup,512,./runs/t5-base/ilpc-large/lr5e-06_constant_with_warmup_adamw_wd1e-02_512-512_bs128_iters150000_baseline_pretrained_2sep_enum/run_1,True,False,,ilpc-large,/home/bulatov/bulatov/datasets/ilpc22/large_2sep_enum/large_train.csv,/home/bulatov/bulatov/datasets/ilpc22/large_2sep_enum/large_valid.csv,/home/bulatov/bulatov/datasets/ilpc22/large_2sep_enum/large_test.csv,,,0.13753807544708252,7.01935338973999,,,,,,,,
ilpc-large,t5-base,,transformers:T5ForConditionalGeneration,encoder-decoder,5e-06,128,1.0,linear,512,/home/bulatov/bulatov/KGLM/runs/t5-base/ilpc-large/lr5e-06_constant_with_warmup_adamw_wd1e-02_512-512_bs128_iters150000_pretrained_2sep_enum_nodesc_eval/run_1/,False,True,/home/bulatov/bulatov/KGLM/runs/t5-base/ilpc-large/lr5e-06_constant_with_warmup_adamw_wd1e-02_512-512_bs128_iters150000_pretrained_2sep_enum_nodesc/run_1/,ilpc-large,/home/bulatov/bulatov/datasets/ilpc22/large_2sep_enum/large_train.csv,/home/bulatov/bulatov/datasets/ilpc22/large_2sep_enum/large_valid.csv,/home/bulatov/bulatov/datasets/ilpc22/large_2sep_enum/large_test.csv,/home/bulatov/bulatov/KGLM/faiss/entities.index,/home/chepurova/knowledge-graphs-language-models/faiss/large_verbalized_inference_entities.json,0.0,8.900677680969238,,,,,,,,
ilpc-large,t5-base,,transformers:T5ForConditionalGeneration,encoder-decoder,5e-06,128,1.0,linear,512,/home/bulatov/bulatov/KGLM/runs/t5-base/ilpc-large/lr5e-06_constant_with_warmup_adamw_wd1e-02_512-512_bs128_iters150000_pretrained_2sep_enum_nodesc_eval/run_1/,False,True,/home/bulatov/bulatov/KGLM/runs/t5-base/ilpc-large/lr5e-06_constant_with_warmup_adamw_wd1e-02_512-512_bs128_iters150000_pretrained_2sep_enum_nodesc/run_1/,ilpc-large,/home/bulatov/bulatov/datasets/ilpc22/large_2sep_enum/large_train.csv,/home/bulatov/bulatov/datasets/ilpc22/large_2sep_enum/large_valid.csv,/home/bulatov/bulatov/datasets/ilpc22/large_2sep_enum/large_test.csv,/home/bulatov/bulatov/KGLM/faiss/entities.index,/home/chepurova/knowledge-graphs-language-models/faiss/large_verbalized_inference_entities.json,8.901217460632324,8.901217460632324,0.11248036473989487,0.13859976828098297,0.1762077808380127,0.21032993495464325,0.10766889154911041,0.12529458105564117,0.15411429107189178,0.17581500113010406
ilpc-large,t5-base,,transformers:T5ForConditionalGeneration,encoder-decoder,5e-06,64,1.0,linear,512,./runs/t5-base/ilpc-large/lr5e-06_linear_adamw_wd1e-02_512-512_bs128_iters20000_baseline_pretrained_2sep_enum_nodesc/run_1,True,True,,ilpc-large,/home/bulatov/bulatov/datasets/ilpc22/large_2sep_enum/large_train.csv,/home/bulatov/bulatov/datasets/ilpc22/large_2sep_enum/large_valid.csv,/home/bulatov/bulatov/datasets/ilpc22/large_2sep_enum/large_test.csv,./faiss/entities.index,/home/chepurova/knowledge-graphs-language-models/faiss/large_verbalized_inference_entities.json,8.807933807373047,8.807933807373047,0.11022191494703293,0.13766692578792572,0.168646901845932,0.19967596232891083,0.10506676882505417,0.12288884818553925,0.14400039613246918,0.1612333059310913
ilpc-large,t5-base,,transformers:T5ForConditionalGeneration,encoder-decoder,5e-06,16,1.0,linear,512,./runs/t5-base/ilpc-large/lr5e-06_linear_adamw_wd1e-02_512-512_bs128_iters50000_pretrained_2sep_enum_nodesc/run_1,False,True,,ilpc-large,/home/bulatov/bulatov/datasets/ilpc22/large_2sep_enum/large_train.csv,/home/bulatov/bulatov/datasets/ilpc22/large_2sep_enum/large_valid.csv,/home/bulatov/bulatov/datasets/ilpc22/large_2sep_enum/large_test.csv,,,9.008743286132812,9.008743286132812,0.11582670360803604,0.1413203626871109,0.17958542704582214,0.21460850536823273,,,,
ilpc-large,t5-base,,transformers:T5ForConditionalGeneration,encoder-decoder,5e-06,16,1.0,linear,512,./runs/t5-base/ilpc-large/lr5e-06_linear_adamw_wd1e-02_512-512_bs128_iters20000_pretrained_2sep_enum_nodesc/run_1,False,True,,ilpc-large,/home/bulatov/bulatov/datasets/ilpc22/large_2sep_enum/large_train.csv,/home/bulatov/bulatov/datasets/ilpc22/large_2sep_enum/large_valid.csv,/home/bulatov/bulatov/datasets/ilpc22/large_2sep_enum/large_test.csv,./faiss/entities.index,/home/chepurova/knowledge-graphs-language-models/faiss/large_verbalized_inference_entities.json,8.218774795532227,8.218774795532227,0.11866653710603714,0.14576786756515503,0.18180479109287262,0.2191673219203949,0.11351139098405838,0.13197171688079834,0.16030047833919525,0.1871563196182251
ilpc-large,t5-base,,transformers:T5ForConditionalGeneration,encoder-decoder,5e-06,128,1.0,constant_with_warmup,512,./runs/t5-base/ilpc-large/lr5e-06_constant_with_warmup_adamw_wd1e-02_512-512_bs128_iters150000_baseline_pretrained_2sep_enum_nodesc/run_1,True,True,,ilpc-large,/home/bulatov/bulatov/datasets/ilpc22/large_2sep_enum/large_train.csv,/home/bulatov/bulatov/datasets/ilpc22/large_2sep_enum/large_valid.csv,/home/bulatov/bulatov/datasets/ilpc22/large_2sep_enum/large_test.csv,,,,,,,,,,,,
